path,tm_id,source,category_id,doc_id
glyph_crops_merged_by_tm/TM_60492/4025_30432_cat14__opencv.jpg,TM_60492,opencv,14,4025_30432
glyph_crops_merged_by_tm/TM_60492/4025_30469_cat77__opencv.jpg,TM_60492,opencv,77,4025_30469
glyph_crops_merged_by_tm/TM_60492/4025_30468_cat150__opencv.jpg,TM_60492,opencv,150,4025_30468
glyph_crops_merged_by_tm/TM_60492/4025_48_cat225__kornia.jpg,TM_60492,kornia,225,4025_48
glyph_crops_merged_by_tm/TM_60492/4025_30464_cat23__opencv.jpg,TM_60492,opencv,23,4025_30464
glyph_crops_merged_by_tm/TM_60492/4025_6_cat7__kornia.jpg,TM_60492,kornia,7,4025_6
glyph_crops_merged_by_tm/TM_60492/4025_30473_cat8__opencv.jpg,TM_60492,opencv,8,4025_30473
glyph_crops_merged_by_tm/TM_60492/4025_2_cat150__kornia.jpg,TM_60492,kornia,150,4025_2
glyph_crops_merged_by_tm/TM_60492/4025_15_cat120__kornia.jpg,TM_60492,kornia,120,4025_15
glyph_crops_merged_by_tm/TM_60492/4025_51_cat119__kornia.jpg,TM_60492,kornia,119,4025_51
glyph_crops_merged_by_tm/TM_60492/4025_7_cat8__kornia.jpg,TM_60492,kornia,8,4025_7
glyph_crops_merged_by_tm/TM_60492/4025_0_cat14__kornia.jpg,TM_60492,kornia,14,4025_0
glyph_crops_merged_by_tm/TM_60492/4025_30427_cat212__opencv.jpg,TM_60492,opencv,212,4025_30427
glyph_crops_merged_by_tm/TM_60492/4025_30445_cat23__opencv.jpg,TM_60492,opencv,23,4025_30445
glyph_crops_merged_by_tm/TM_60492/4025_24_cat8__kornia.jpg,TM_60492,kornia,8,4025_24
glyph_crops_merged_by_tm/TM_60492/4025_47_cat8__kornia.jpg,TM_60492,kornia,8,4025_47
glyph_crops_merged_by_tm/TM_60492/4025_30487_cat212__opencv.jpg,TM_60492,opencv,212,4025_30487
glyph_crops_merged_by_tm/TM_60492/4025_58_cat77__kornia.jpg,TM_60492,kornia,77,4025_58
glyph_crops_merged_by_tm/TM_60492/4025_30453_cat23__opencv.jpg,TM_60492,opencv,23,4025_30453
glyph_crops_merged_by_tm/TM_60492/4025_45_cat225__kornia.jpg,TM_60492,kornia,225,4025_45
glyph_crops_merged_by_tm/TM_60492/4025_30442_cat212__opencv.jpg,TM_60492,opencv,212,4025_30442
glyph_crops_merged_by_tm/TM_60492/4025_46_cat225__kornia.jpg,TM_60492,kornia,225,4025_46
glyph_crops_merged_by_tm/TM_60492/4025_18_cat45__kornia.jpg,TM_60492,kornia,45,4025_18
glyph_crops_merged_by_tm/TM_60492/4025_62_cat8__kornia.jpg,TM_60492,kornia,8,4025_62
glyph_crops_merged_by_tm/TM_60492/4025_30439_cat59__opencv.jpg,TM_60492,opencv,59,4025_30439
