                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7844,                 6.3022,                 1.9165,                0.00198,                0.00073,                  0.001,                 0.0003,                 3.6376,                 6.1147,                 1.5367,               7.74e-06,               7.74e-06,               7.74e-06
                      1,                  3.606,                 5.9777,                 1.6807,                 0.0167,                0.00701,                0.00878,                0.00307,                 3.3639,                 5.4675,                 1.3297,             1.5752e-05,             1.5752e-05,             1.5752e-05
                      2,                 3.2668,                 5.5447,                 1.4822,                0.02129,                0.01458,                0.01161,                0.00445,                 3.1212,                 4.9277,                 1.2267,             2.3603e-05,             2.3603e-05,             2.3603e-05
                      3,                 3.1838,                  5.087,                 1.3542,                0.02497,                0.02069,                0.01403,                0.00667,                 2.9472,                 4.6192,                 1.1649,             3.1292e-05,             3.1292e-05,             3.1292e-05
                      4,                 2.9636,                 4.7174,                 1.2568,                 0.0267,                0.02622,                0.01581,                 0.0071,                   2.79,                 4.3158,                 1.1278,             3.8819e-05,             3.8819e-05,             3.8819e-05
                      5,                 2.8384,                 4.4083,                 1.2035,                0.02813,                0.02971,                0.01697,                 0.0085,                 2.6933,                 4.0336,                 1.1062,             4.0872e-05,             4.0872e-05,             4.0872e-05
                      6,                 2.8584,                 4.1887,                 1.1658,                0.02828,                0.03409,                0.01791,                0.00889,                 2.5911,                 3.7718,                 1.0886,             4.0872e-05,             4.0872e-05,             4.0872e-05
                      7,                 2.7984,                 3.9776,                 1.1471,                0.03459,                0.03905,                0.02231,                0.01025,                 2.5419,                 3.6156,                 1.0837,             4.0446e-05,             4.0446e-05,             4.0446e-05
                      8,                 2.8746,                 3.8571,                 1.1381,                0.03142,                0.04478,                0.02241,                0.01096,                 2.5439,                 3.5189,                 1.0853,              4.002e-05,              4.002e-05,              4.002e-05
                      9,                 2.7806,                 3.6966,                  1.106,                0.03506,                0.04896,                0.02553,                0.01276,                 2.5501,                 3.4554,                 1.0803,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     10,                 2.6235,                  3.589,                 1.0972,                0.03749,                0.05182,                0.02771,                0.01401,                 2.5384,                 3.4098,                 1.0753,             3.9169e-05,             3.9169e-05,             3.9169e-05
                     11,                 2.6531,                 3.5419,                 1.0943,                0.04362,                 0.0569,                0.03218,                0.01646,                  2.509,                  3.319,                 1.0652,             3.8743e-05,             3.8743e-05,             3.8743e-05
                     12,                 2.6096,                 3.4218,                 1.0724,                0.05003,                0.05987,                0.03675,                0.01863,                 2.4564,                 3.1852,                 1.0502,             3.8317e-05,             3.8317e-05,             3.8317e-05
                     13,                 2.6788,                 3.3614,                 1.0663,                0.05467,                0.06456,                0.04068,                0.02109,                 2.4251,                 3.1073,                 1.0419,             3.7892e-05,             3.7892e-05,             3.7892e-05
                     14,                 2.5705,                 3.2442,                 1.0643,                0.05473,                0.06969,                0.04263,                0.02235,                  2.398,                 3.0179,                 1.0342,             3.7466e-05,             3.7466e-05,             3.7466e-05
                     15,                 2.5731,                 3.1789,                 1.0723,                0.05657,                0.07157,                0.04456,                0.02334,                  2.379,                 2.9888,                 1.0309,              3.704e-05,              3.704e-05,              3.704e-05
                     16,                 2.5304,                 3.1249,                 1.0436,                0.05769,                0.07547,                 0.0461,                0.02431,                 2.3587,                 2.9352,                 1.0269,             3.6614e-05,             3.6614e-05,             3.6614e-05
                     17,                 2.6219,                 3.1221,                 1.0405,                0.06044,                0.07669,                0.04829,                0.02606,                 2.3466,                 2.8914,                 1.0262,             3.6189e-05,             3.6189e-05,             3.6189e-05
                     18,                 2.5174,                 3.0627,                   1.05,                0.06361,                0.07877,                0.05126,                0.02758,                 2.3363,                 2.8556,                 1.0239,             3.5763e-05,             3.5763e-05,             3.5763e-05
                     19,                 2.4922,                 3.0224,                 1.0477,                0.06788,                0.08365,                0.05548,                0.02989,                 2.3195,                  2.802,                 1.0189,             3.5337e-05,             3.5337e-05,             3.5337e-05
                     20,                 2.5466,                 3.0088,                 1.0422,                0.06978,                0.08605,                0.05772,                0.03104,                 2.3144,                 2.7814,                 1.0176,             3.4912e-05,             3.4912e-05,             3.4912e-05
                     21,                  2.487,                 2.8995,                 1.0243,                0.07058,                0.08901,                0.05948,                0.03212,                 2.2978,                 2.7533,                 1.0147,             3.4486e-05,             3.4486e-05,             3.4486e-05
                     22,                 2.4874,                 2.9249,                 1.0397,                0.07538,                0.09506,                0.06395,                0.03482,                 2.2916,                 2.6943,                 1.0107,              3.406e-05,              3.406e-05,              3.406e-05
                     23,                 2.5366,                 2.9249,                 1.0345,                0.07636,                0.09758,                0.06573,                0.03561,                 2.2805,                 2.6464,                  1.008,             3.3635e-05,             3.3635e-05,             3.3635e-05
                     24,                 2.4785,                 2.8571,                  1.026,                0.07999,                0.10008,                0.06941,                0.03781,                 2.2686,                 2.6161,                 1.0082,             3.3209e-05,             3.3209e-05,             3.3209e-05
                     25,                 2.3559,                 2.7258,                 1.0373,                0.08567,                0.10193,                0.07367,                0.04046,                 2.2747,                 2.5985,                 1.0071,             3.2783e-05,             3.2783e-05,             3.2783e-05
                     26,                 2.4824,                 2.7819,                 1.0182,                0.08743,                0.10402,                0.07589,                0.04186,                 2.2663,                 2.5788,                 1.0058,             3.2357e-05,             3.2357e-05,             3.2357e-05
                     27,                 2.4542,                  2.738,                 1.0186,                0.09073,                0.10865,                0.07935,                0.04356,                 2.2456,                 2.5468,                  1.004,             3.1932e-05,             3.1932e-05,             3.1932e-05
                     28,                 2.3948,                 2.6415,                  1.015,                0.09023,                0.11029,                0.08016,                0.04403,                 2.2338,                 2.4983,                 1.0013,             3.1506e-05,             3.1506e-05,             3.1506e-05
                     29,                 2.4211,                 2.6745,                 1.0163,                0.21721,                0.11265,                0.08225,                0.04547,                 2.2199,                 2.4695,                0.99829,              3.108e-05,              3.108e-05,              3.108e-05
                     30,                 2.3664,                 2.6367,                 1.0188,                0.26755,                0.11226,                0.08537,                0.04686,                 2.2214,                 2.4579,                0.99676,             3.0655e-05,             3.0655e-05,             3.0655e-05
                     31,                 2.4213,                  2.629,                 1.0093,                0.26931,                0.11571,                0.08821,                0.04856,                 2.2032,                 2.4336,                0.99534,             3.0229e-05,             3.0229e-05,             3.0229e-05
                     32,                 2.3681,                 2.6036,                 1.0153,                0.23114,                0.11686,                0.09513,                0.05326,                 2.1891,                 2.3921,                0.99423,             2.9803e-05,             2.9803e-05,             2.9803e-05
                     33,                  2.329,                 2.5706,                 1.0043,                 0.2373,                0.11647,                0.09381,                0.05198,                 2.1814,                 2.3741,                0.99198,             2.9378e-05,             2.9378e-05,             2.9378e-05
                     34,                 2.3492,                 2.5622,                 1.0025,                0.24284,                 0.1173,                0.09636,                0.05333,                 2.1764,                 2.3604,                0.99174,             2.8952e-05,             2.8952e-05,             2.8952e-05
                     35,                 2.3725,                 2.5579,                0.99319,                0.29154,                0.11783,                0.09918,                0.05493,                 2.1696,                 2.3265,                0.99022,             2.8526e-05,             2.8526e-05,             2.8526e-05
                     36,                   2.35,                 2.5103,                 1.0075,                0.24855,                 0.1226,                 0.1015,                0.05633,                 2.1595,                 2.2997,                0.98763,               2.81e-05,               2.81e-05,               2.81e-05
                     37,                 2.3644,                 2.5471,                 1.0079,                0.29461,                0.12259,                0.10559,                0.05869,                   2.17,                 2.2993,                0.98816,             2.7675e-05,             2.7675e-05,             2.7675e-05
                     38,                 2.4532,                  2.598,                0.99671,                0.30057,                0.12099,                0.10794,                0.05977,                 2.1611,                 2.3207,                 0.9913,             2.7249e-05,             2.7249e-05,             2.7249e-05
                     39,                 2.2797,                 2.4175,                 1.0016,                0.27072,                0.11894,                0.10926,                0.06075,                 2.1412,                 2.2855,                0.98909,             2.6823e-05,             2.6823e-05,             2.6823e-05
                     40,                 2.3103,                 2.4535,                 1.0027,                0.26996,                0.12386,                 0.1123,                0.06258,                 2.1398,                  2.254,                0.98562,             2.6398e-05,             2.6398e-05,             2.6398e-05
